ColumnO3,Month
304,7
295,7
292,7
300,7
289,7
295,7
272,7
277,7
273,7
277,7
286,7
281,7
275,7
290,7
290,7
271,7
273,7
278,7
295,7
296,7
279,7
276,7
281,7
278,7
278,7
276,7
285,7
274,8
281,8
287,8
283,8
268,8
270,8
268,8
262,8
263,8
264,8
245,8
274,8
261,8
267,8
264,8
281,8
272,8
268,8
270,8
268,8
262,8
268,8
278,8
280,9
276,9
280,9
278,9
275,9
277,9
285,9
282,9
278,9
285,9
311,9
281,9
298,9
285,9
272,9
274,9
274,9
276,9
268,9
273,9
266,9
265,9
267,9
271,9
260,9
265,9
266,9
264,9
263,9
275,11
278,11
274,11
277,11
282,11
273,11
282,11
278,11
282,11
277,11
275,11
273,11
269,11
282,11
281,11
272,11
264,11
270,11
281,11
299,11
303,11
298,11
306,11
294,11
259,11
260,11
255,11
250,11
247,12
249,12
259,12
257,12
260,12
267,12
260,12
260,12
275,12
265,12
265,12
270,12
265,12
269,12
275,12
262,12
272,12
273,12
273,12
273,12
275,12
268,12
263,12
258,12
245,12
258,12
261,12
272,12
268,12
258,12
248,1
262,1
260,1
255,1
253,1
255,1
251,1
241,1
236,1
249,1
251,1
250,1
252,1
253,1
265,1
264,1
282,1
292,1
271,1
249,1
311,5
316,5
315,5
311,5
313,5
318,5
317,5
327,5
323,5
327,5
354,5
306,5
305,5
303,5
297,5
299,5
300,5
296,5
303,5
297,5
302,5
309,5
310,5
309,5
299,5
296,5
305,5
290,4
297,4
315,4
293,4
279,4
290,4
290,4
294,4
303,4
314,4
311,4
315,4
308,4
304,4
313,4
303,4
319,4
315,4
306,4
301,4
310,4
335,4
334,4
313,4
303,4
305,4
299,4
303,4
307,4
322,4
266,2
309,2
309,2
322,2
317,2
300,2
292,2
290,2
280,2
311,2
295,2
304,2
298,2
286,2
306,2
301,2
303,2
315,2
288,2
273,2
279,2
272,2
271,2
274,2
286,2
278,2
280,2
284,2
301,6
297,6
309,6
311,6
307,6
311,6
317,6
303,6
293,6
327,6
299,6
294,6
299,6
303,6
297,6
302,6
301,6
294,6
289,6
299,6
298,6
294,6
308,6
310,6
313,6
305,6
296,6
296,6
305,6
292,6
296,7
299,7
309,7
314,7
302,7
300,7
300,7
310,7
305,7
289,7
278,7
343,7
305,7
291,7
288,7
295,7
288,7
291,7
296,7
299,7
279,7
282,7
286,3
279,3
280,3
285,3
292,3
292,3
288,3
285,3
290,3
294,3
304,3
311,3
299,3
301,3
306,3
290,3
285,3
298,3
301,3
289,3
285,3
283,3
273,3
305,3
317,3
302,3
291,3
295,3
294,3
295,3
277,10
271,10
264,10
279,10
281,10
268,10
273,10
261,10
265,10
265,10
273,10
264,10
264,10
266,10
273,10
261,10
248,10
249,10
239,10
243,10
251,10
255,10
249,10
254,10
268,10
266,10
266,10
262,10
261,10
263,10
